id,title,create_date,likes_count,reposts_count,tracks_count,total_playtime,tags,url,userId,trackIds
0,Lo-Fi Vietnam Chill,10 September 2019,31745,1217,48,2:55:36,"Soundtrack, Soul, Lo-Fi, Acid, Relax, vietnam",https://soundcloud.com/winterhihiihiii/sets/lofi-vietnam-chill,3354,"0,1,2,3,4"
1,vietnam,8 April 2019,8,0,340,2:17:33,,https://soundcloud.com/thang-bui-667476417/sets/vietnam,3355,"5,6,7,8,9"
2,Vietnam,31 July 2020,4,0,297,2:02:49,,https://soundcloud.com/sammmv/sets/vietnam,3356,"10,11,12,13,14"
3,Viet Nam,24 April 2020,7,0,427,2:14:05,,https://soundcloud.com/minh-t-nguy-n-857855647/sets/viet-nam,3357,"15,16,17,18,19"
4,Vietnam,25 November 2019,9,0,247,2:07:48,,https://soundcloud.com/ngan-hoang-810603610/sets/vietnam,3358,"20,21,22,23,24"
5,vietnam,21 December 2020,2,1,281,1:57:53,,https://soundcloud.com/user-272406262/sets/vietnam,3359,"25,26,27,28,29"
6,𝒗𝒊𝒆𝒕𝒏𝒂𝒎,28 August 2020,1,0,259,2:09:35,,https://soundcloud.com/c-m-duy-n-410864805/sets/vietnam,3360,"30,31,32,33,34"
7,vietnam,22 November 2015,3,0,191,1:55:38,Pop,https://soundcloud.com/hai-phan-25/sets/vietnam,3361,"35,36,37,38,39"
8,Vietnam,15 October 2020,0,0,242,2:05:16,,https://soundcloud.com/duc-anh-17480433/sets/vietnam,3362,"40,41,42,43,11"
9,Vietnam,18 November 2021,0,0,247,3:33:11,,https://soundcloud.com/jagxx/sets/vietnam-1,3363,"44,45,14,46,47"
10,vietnam,2 February 2019,15,0,213,2:18:48,,https://soundcloud.com/putabe-cassie/sets/vietnam,3364,"14,42,48,11,49"
11,vietnam,21 October 2018,0,0,253,1:35:07,"Hip Hop, Rap",https://soundcloud.com/666manesos/sets/vietnam,3365,"50,51,52,53,54"
12,Vietnam,29 February 2020,0,0,206,1:56:36,,https://soundcloud.com/d-ng-l-499378274/sets/new-private-playlist,3366,"55,56,57,58,59"
13,Vietnam,13 September 2020,0,0,187,2:15:55,,https://soundcloud.com/hoang-anh-tran-5/sets/vietnam,3367,"60,61,62,63,64"
14,vietnam,25 June 2016,5,1,168,2:01:02,,https://soundcloud.com/thu-n-tr-n-765043597/sets/vietnam,3368,"65,66,67,68,69"
15,Vietnam,11 November 2020,0,0,166,2:11:22,,https://soundcloud.com/user-307033739/sets/vietnam,3369,"70,71,6,72,73"
16,Vietnam,23 July 2018,0,0,203,1:56:24,,https://soundcloud.com/yanek-babilya/sets/vietnam,3370,"74,75,76,77,78"
17,vietnam,10 November 2015,0,1,70,37:35:02,"Electronic, Electro, House, EDWARDSG",https://soundcloud.com/davidchay/sets/vietnam,3371,"79,80,81,82,83"
18,Vietnam,12 August 2015,4,0,165,2:30:08,"Pop, Ballad",https://soundcloud.com/phong-ng-17/sets/because-im-blue,3372,"84,85,86,87,88"
19,Vietnam,20 January 2019,4,0,167,2:06:18,,https://soundcloud.com/anh-ki-u-375698252/sets/vietnam,3373,"89,90,91,92,93"
20,VIETNAM,24 November 2020,0,0,201,1:27:16,,https://soundcloud.com/carl-mcgrath-550915463/sets/vietnam,3374,
21,Vietnam,16 June 2016,8,1,154,2:09:46,,https://soundcloud.com/hieu-duy-nguyen/sets/vietnam,3375,"14,94,95,96,97"
22,Việt Nam,22 November 2020,1,0,232,2:23:13,,https://soundcloud.com/ky-tran-67809953/sets/vi-t-nam,3376,"98,99,100,101,102"
23,vietnam,1 August 2017,0,0,1,4:12,,https://soundcloud.com/ho-ng-ti-n-kento/sets/vietnam,3377,103
24,Vietnam,18 July 2020,1,0,180,1:56:24,,https://soundcloud.com/user-326420686/sets/vietnam,3378,"104,105,106,107,108"
25,Vietnam,26 September 2019,2,0,157,2:04:36,,https://soundcloud.com/quang-vinh-806061897/sets/vietnam,3379,"109,110,111,112,113"
26,Vietnam,25 October 2022,0,0,5,16:21,,https://soundcloud.com/user-930289408/sets/vietnam,3380,"114,115,116,117,118"
27,Vietnam,12 August 2018,0,1,139,2:07:21,,https://soundcloud.com/ph-c-tr-n-905056433/sets/vietnam,3381,"119,120,121,122,123"
28,VietNam,14 September 2022,1,0,187,1:49:56,R&B,https://soundcloud.com/hi-uu-ph-mm-558458910/sets/vietnam,3382,"124,125,126,127,128"
29,Vietnam,28 July 2019,0,0,172,1:56:52,,https://soundcloud.com/user-942154081/sets/vietnam,3383,"129,130,131,132,133"
30,việt nam,12 August 2019,3,0,261,2:18:05,,https://soundcloud.com/ti-n-l-89271103/sets/vi-t-nam,3384,"134,135,136,137"
31,Vietnam,30 April 2022,1,0,169,1:50:07,,https://soundcloud.com/ph-m-mai-919837604/sets/vietnam,3385,"138,139,140,141,142"
32,Vietnam,9 September 2022,0,0,132,2:28:54,,https://soundcloud.com/dong-nghiem/sets/vietnam,3386,"143,144,145,146,147"
33,vietnam,30 August 2014,1,0,124,1:42:31,,https://soundcloud.com/user986792522/sets/vietnam,3387,"148,149,150,151,152"
34,Vietnam,17 May 2019,0,0,155,2:11:37,,https://soundcloud.com/user-858122032/sets/vietnam,3388,"153,154,155,156,157"
35,Vietnam,20 January 2017,2,0,136,2:13:59,"Pop, Dance Pop",https://soundcloud.com/mitch-sabido/sets/vietnam,3389,"158,159,160,161,162"
36,VIỆT NAM,19 July 2021,3,0,199,1:50:50,,https://soundcloud.com/twinkle1tinker/sets/vi-t-nam,3390,"43,163,164,165,166"
37,Vietnam,6 March 2017,2,0,120,1:42:56,,https://soundcloud.com/jinngyn/sets/vietnam-1,3391,"167,168,169,170,171"
38,Vietnam,19 December 2019,0,1,133,1:30:11,,https://soundcloud.com/linh-xu-55542537/sets/vietnam,3392,"172,173,174,175,176"
39,Vietnam,7 February 2017,4,0,112,2:11:45,,https://soundcloud.com/cong-le-854353771/sets/new-private-playlist,3393,"177,13,178,179,180"
40,Lofi,8 March 2017,106004,3344,150,34:49,"lofi, lofi, study",https://soundcloud.com/user-692461400/sets/lofi,3394,"181,182,183,184,185"
41,Midnight Lofi,19 September 2018,329880,23821,36,39:13,"Lo-fi, Midnight, Room, Lofi, Relax, Chill, Mood, Mellow",https://soundcloud.com/butterxly/sets/midnight-lofi,3395,"186,187,188,189,190"
42,lofi 4 studying,20 February 2017,210364,8332,86,3:51:07,"Hip-hop & Rap, Trip Hop, Ambient, Downtempo, studying, study, relax, lofi, midterms, exams, homework, focus, working, remote work, quarantine",https://soundcloud.com/suricolbert/sets/lofi-4-studying,3396,"191,192,193,194,195"
43,𝘓𝘖𝘍𝘐,22 June 2018,35883,7134,290,11:09:25,"Lofi, Lofi, Lo-Fi, Lofi Hip Hop, Chillhop",https://soundcloud.com/lofi-hip-hop-music/sets/lofi-lofi,3397,"196,197,198,199,200"
44,lofi ◡̈,23 June 2017,30183,2991,104,1:05:27,"lofi hip hop, Chill",https://soundcloud.com/slutcafe/sets/lofi,3398,"201,202,203,204,205"
45,Lofi,20 May 2019,33007,2265,343,13:02:18,"Lofi, Lofi Hip Hop, Lofi Hip Hop Beats, Lofi, Hip Hop",https://soundcloud.com/lofi-hip-hop-music/sets/lofi-hip-hop,3397,"206,196,199,207,208"
46,| Chill | Lofi | Hip Hop |,29 October 2017,98463,5613,122,1:20:54,"Hip Hop, chill, lofi",https://soundcloud.com/helennpham/sets/lofi-hip-hop,3399,"209,210,211,212,213"
47,Study & Chill | Lofi Hiphop,3 September 2018,98264,5976,24,30:49,"Lofi, study, Chill, lofi",https://soundcloud.com/dabootlegboy/sets/study-chill-lofi-hiphop,3400,"214,215,216,217,218"
48,Lo-Fi,5 May 2018,7887,717,412,36:21,"Lo-Fi, LoFi Hip Hop, LoFi, Downtempo, Relax beats, Relax, study, beats to study to, lofi mix, lofi playlist, Chill, chill music, chill hop, Beats, Chill beats, lofi chill, lofi study, lofi relax, lofi jazz, Jazz, jazz hop, chilledcow, Chillhop, Hip Hop, 24/7, kudasai, knxwledge, rook1e, beattape, Ambient",https://soundcloud.com/epigenes1s/sets/lo-fi,3401,"219,220,221,222,223"
49,lofi hip hop playlist,22 February 2017,61753,6915,90,1:22:12,lofi hip hop,https://soundcloud.com/chillhopdotcom/sets/lofihiphop,190,"224,225,226,227,228"
50,lofi,1 October 2017,3308,302,487,35:41:28,"lofi, Ambient, Downtempo",https://soundcloud.com/oddkind/sets/lofi,3402,"229,230,231,232,233"
51,Late Night Lofi,14 August 2017,48536,2372,40,1:40:10,"Chill, Chillout, Relax, sleep, late, Night, Lo-Fi, study, Deep Thoughts, lofi",https://soundcloud.com/ilyanaazman/sets/latenightlofi,3403,"234,235,236,237,181"
52,Oct. Lo-fi,21 October 2020,38716,1079,28,1:40:51,"chill, sleep, relax, study",https://soundcloud.com/hanriverlove/sets/r-lofi-beat,3404,"238,239,240,241,242"
53,Lo-Fi Vietnam Chill,10 September 2019,31745,1217,48,2:55:36,"Soundtrack, Soul, Lo-Fi, Acid, Relax, vietnam",https://soundcloud.com/winterhihiihiii/sets/lofi-vietnam-chill,3354,"0,1,2,3,4"
54,lofi,16 July 2016,573,41,464,1:38:10,chill,https://soundcloud.com/daygodavinci/sets/lofi,3405,"243,244,245,246,247"
55,Morning Lofi,27 September 2018,33173,2031,17,40:38,"Lo-fi, Morning, Coffee, Lofi, Relax, Chill, Mood, Mellow",https://soundcloud.com/butterxly/sets/morning-lofi,3395,"248,249,250,251,252"
56,lofi,17 February 2016,765,79,382,24:08:02,"lofi, lowtempo, downtempo, vybes, wave, subjective, mytaste, shuffle",https://soundcloud.com/yungshekel/sets/lofi,3406,"253,254,255,256,257"
57,lofi,26 November 2022,0,0,1,4:36,,https://soundcloud.com/b-b-764630246/sets/lofi,3407,258
58,Lofi,6 January 2018,387,31,473,29:08:43,"Lofi, Soul, Lofi, Groove",https://soundcloud.com/cchywiw9agu2/sets/lofi,3408,"259,260,261,262,263"
59,lofi,28 February 2017,622,42,478,1:27:54,"Electronic, Trip Hop, Ambient, Downtempo",https://soundcloud.com/lmtek/sets/lofi,3409,"264,265,266,267,268"
60,"Lofi Fruits Mix 📚 lofi hip hop music to sleep, relax",16 June 2021,20259,564,500,11:49,Lofi,https://soundcloud.com/lofifruitsmusic/sets/lofifruits,3410,
61,Lofi,30 April 2021,17,1,380,21:01:34,Triphop,https://soundcloud.com/somerandompeepster/sets/lofi,3411,"269,270,271,272,273"
62,lofi,13 November 2022,0,0,318,1:18:30,,https://soundcloud.com/tom-millen-1/sets/lofi,3412,"274,275,234,236"
63,lofi,13 June 2019,71,3,485,2:27:52,,https://soundcloud.com/devin-whitmer/sets/lofi,3413,"276,277,278,279,280"
64,Lofi,24 January 2019,165,15,430,1:38:13,,https://soundcloud.com/uufnivziqotz/sets/lofi,3414,"281,262,282,283,284"
65,lofi,10 December 2021,52,2,497,1:33:49,,https://soundcloud.com/steezy_y/sets/lofi,3415,"285,286,287,288,289"
66,lofi,25 July 2019,21,1,496,1:40:03,"Pop, Easy, Listening",https://soundcloud.com/nguy-n-thanh-b-nh-301298385/sets/lofi,3416,"186,290,291,292,293"
67,For studying / mainly lofi-hiphop & ambient + alpha,24 February 2017,27254,2556,40,1:55:42,"ambient, lofi-hiphop, study, ambient, lofi, chill, vibes, Hip Hop, rap",https://soundcloud.com/mavocado28/sets/for-studying-mainly-lofi,3417,"294,295,296,297,298"
68,Lofi,3 June 2021,21,1,499,23:02:22,LoFi,https://soundcloud.com/user-343671144/sets/lofi-1,3418,"225,299,227,300,301"
69,Lofi,20 January 2019,91,8,485,1:36:45,,https://soundcloud.com/qu-c-long-607709668/sets/lofi,3419,"188,302,303,304,305"
70,Lofi,24 March 2019,38,2,479,1:40:16,,https://soundcloud.com/qlaw328raven/sets/lofi,3420,"306,307,308,309,310"
71,lofi,7 December 2017,102,6,467,23:05:02,"Trip Hop, Ambient, Downtempo, lofi, chill, aesthetic, lofihiphop",https://soundcloud.com/perccocet/sets/lofi,3421,"311,312,313,314,315"
72,lofi,31 July 2022,3,0,470,1:24:36,,https://soundcloud.com/n4oki/sets/lofi,3422,"316,317,318,319,320"
73,lofi,11 December 2017,9,0,425,9:11:23,,https://soundcloud.com/yohnpark/sets/4jsuxcrzva4d,3423,"321,322,323,324,325"
74,lofi,26 March 2018,25,4,484,1:16:16,lofi,https://soundcloud.com/ha-ha-355581543/sets/lofi,3424,"326,327,328,329,330"
75,lofi,13 April 2019,100,6,478,26:40,"Electronic, Trip Hop, Ambient, Downtempo",https://soundcloud.com/user-628851488/sets/gimme-ur-ass,3425,"331,332,333,334,335"
76,LOFI,29 June 2022,3,0,478,19:46:02,"lofi, tunes, chill, beats, hip, hop, instrumental",https://soundcloud.com/gh0st13-976669724/sets/lofi,3426,"336,337,338,339,340"
77,LOFI,9 January 2020,7,0,489,59:10,,https://soundcloud.com/xx_incognito_monster_xx-gray/sets/lofi,3427,"341,342,343,344,345"
78,Lofi,6 January 2020,6,0,462,1:22:45,,https://soundcloud.com/mordecario/sets/lofi,3428,"346,347,348,349,350"
79,lofi,19 June 2016,60,6,443,23:18:01,"lofi, beats",https://soundcloud.com/saintnorth/sets/lofi,3429,"351,352,353,354,355"
80,Never Chill Before,1 June 2016,283021,21794,36,57:53,"deep house, chill, High",https://soundcloud.com/bi-s-n-3/sets/chilloutwithme,3430,"356,357,358,359,360"
81,Best Of Chill Nation,10 May 2017,259417,17194,107,6:07:16,"Chill, Chill, Nation, Party, workout, Relax, study, sleep",https://soundcloud.com/ilyanaazman/sets/bestofchillnation,3403,"361,362,363,364,365"
82,Chill Mix(High On Chill),3 May 2017,203774,14463,34,1:57:50,"Chill, Chill, chillmix, high, on, chill, highonchill, chillmusic",https://soundcloud.com/lukasm1/sets/chill-mix-high-on-chill,3431,"366,367,368,369,370"
83,Chill,30 March 2017,37840,2234,34,1:39:05,"jazzhop, chill, Ambient, jazzhop, study, Relax, lofi",https://soundcloud.com/yeonkkot/sets/s07,3432,"371,372,373,374,375"
84,Beach House Session #169 | Tropical & Chill (Follow our channel and access 240+ playlists!),9 January 2016,143002,10302,13,2:44:23,"Tropical, Deephouse, House, Chill, Nu-Disco, Relax, Eat, Beach, Sleep, Ambient, Downtempo, Sunday, Summer, Sand, Sun, Mojitos, Surf, Groove, Lounge, Mixtape, Good, Vibes, Times, Happy, Music, Session, Mix, Party",https://soundcloud.com/beachhousesession/sets/beach-house-session-169-2016,305,"376,377,378,379,380"
85,CHILL VIBES,9 September 2015,159773,12420,93,5:54:29,"electronic , electronic, electro, electro house, electronic house, deep house, chill house, chill, relax, party, chill party, rap, hip hop, R&B, future, future bass, trap, chill trap",https://soundcloud.com/3sup/sets/chill-vibes,3433,"381,382,383,384,385"
86,Chill Out 2018,3 February 2018,83700,5972,31,8:55:09,,https://soundcloud.com/thiago-silva-394/sets/chill-out-2018,3434,"386,387,388,389,390"
87,| Chill | Lofi | Hip Hop |,29 October 2017,98463,5613,122,1:20:54,"Hip Hop, chill, lofi",https://soundcloud.com/helennpham/sets/lofi-hip-hop,3399,"209,210,211,212,213"
88,CHILL STUDY VIBES,10 March 2017,92586,6618,27,1:07:43,"chillstep, vibes, study",https://soundcloud.com/alkhaw/sets/chill-study-vibes,3435,"391,392,393,394,395"
89,chill,18 May 2016,501,43,1791,1:39:37,,https://soundcloud.com/tljc6xwm1sqz/sets/chill,3436,"396,397,398,399"
90,Best of Chill Trap | Party | Study (2022),26 August 2017,93513,6216,46,53:31,"Dance & EDM, party, chill, study, workout, Edm, Trap",https://soundcloud.com/digitalstreams/sets/chilltrap,3437,"400,401,402"
91,Chill,1 December 2015,146,20,21,58:32,,https://soundcloud.com/user-340383418/sets/chill,3438,"403,404,405,406"
92,Trap for Deep Focus: Chill Trap,29 March 2019,91899,4053,40,1:02:10,"Trap, hustle, chilltrap",https://soundcloud.com/soundcloud-hustle/sets/chill-trap-for-deep-focus,3439,
93,Chill MIx (High On Chill),25 March 2017,50996,4510,48,1:39:15,Chill,https://soundcloud.com/jataus/sets/chill-mix-1,334,"407,408,409,410,411"
94,Chill,15 November 2016,9103,682,37,1:43:15,Chill,https://soundcloud.com/iijeriichoii/sets/chill,3440,"412,413,414,415,416"
95,CHILL,2 October 2017,83,3,364,1:26:27,,https://soundcloud.com/brad-harper-524479532/sets/chill,3441,"417,418,419,420"
96,Chill,10 January 2020,8,0,69,1:38:52,,https://soundcloud.com/clarissa-evans-674223736/sets/chill,3442,"421,422,423"
97,Chill,3 January 2017,126,12,859,1:50:51,,https://soundcloud.com/zapoco/sets/chill,3443,"424,425,426,427,428"
98,Chill,11 June 2016,135,8,748,1:46:50,,https://soundcloud.com/mckenzie-wilson-14/sets/chill,3444,"429,430,431,432,433"
99,"Wake up, Chill, Repeat",1 June 2017,35992,2927,46,1:13:27,"Chill, Relax, Summer",https://soundcloud.com/samsaunders23/sets/wake-up-chill-repeat,354,"434,435,436"
100,Chill,3 October 2016,47,5,437,2:21:32,,https://soundcloud.com/rigade/sets/chill,3445,"437,438,439,440,412"
101,Chill,12 November 2015,7,0,178,2:10:32,,https://soundcloud.com/jaewolfsy/sets/chill,3446,"441,442,443,444,445"
102,Chill,15 November 2018,4124,308,59,45:48,,https://soundcloud.com/butterxly/sets/chill,3395,"446,447,448,449,450"
103,Chill,10 March 2018,13,0,463,2:41:43,,https://soundcloud.com/nadja-sihlberg/sets/chill,3447,"451,452,453,454,455"
