id,title,upload_date,plays_count,likes_count,reposts_count,comments_count,tags,userId,url
0,Đi đâu chẳng thấy - Summer Vee,8 September 2019,2859429,34615,878,1438,Indie,0,https://soundcloud.com/hueninh2012/di-dau-chang-thay-summer-vee
1,Ai biết - WEAN,1 September 2019,7417706,62050,2045,1026,,1,https://soundcloud.com/nguyen-pham-phuong-anh-919045202/wean-ai-biet
2,Nhỏ trên hạnh phúc...,22 March 2019,722587,4501,91,136,Lo-Fi,2,https://soundcloud.com/chris-hoang-2412/nho-tren-hanh-phuc
3,Kina - get you the moon (ft. Snow),14 March 2018,64441358,881570,19862,25090,"Indie, love",3,https://soundcloud.com/kinabeats/kina-get-you-the-moon-ft-snow
4,First Date (out on spotify),21 April 2018,4140664,53978,1744,2013,"<3, lofi, Hip-hop &Rap, cute, jazz, kawaii, depression",4,https://soundcloud.com/fradical/first-date
5,Màu Nước Mắt,10 November 2018,1513491,11726,464,44,Nhạc Trẻ,5,https://soundcloud.com/y-n-nhi-219034138/mau-nuoc-mat
6,Anh Đang Ở Đâu Đấy Anh,12 November 2018,1209419,6634,267,23,Nhạc Trẻ,6,https://soundcloud.com/di-p-trinh-chu/anh-dang-o-dau-day-anh
7,#EDTACNA - #ADODDA2 - Hương Giang,11 March 2019,348438,1657,48,6,"Pop, Nhạc Trẻ, HuongGiang, EDTACNA, ADODDA2",7,https://soundcloud.com/anh-d-ng-potatoes/edtacna-adodda2-huong-giang
8,Cảm Giác Lúc Ấy Sẽ Ra Sao,29 March 2019,3780124,25398,2102,165,"Dance & EDM, Nhạc Trẻ, Lou Hoàng",8,https://soundcloud.com/user-262405456/cam-giac-luc-ay-se-ra-sao
9,Một Bước Yêu Vạn Dặm Đau,14 March 2019,5509921,37744,1686,407,Nhạc Trẻ,9,https://soundcloud.com/nguy-n-tu-n-480457176/mot-buoc-yeu-van-dam-dau
10,Hello (foolish) [feat. nân & TSL],18 December 2017,3420917,29303,1534,217,R&B & Soul,10,https://soundcloud.com/itsnk/hello-foolish
11,Đen - Đi Theo Bóng Mặt Trời ft Giang Nguyễn,14 May 2017,4182431,38091,2472,186,"Hip-hop & Rap, den, giang, viet, chill, rap, Hip Hop, kobukovu, young, Free",11,https://soundcloud.com/den1305/den-di-theo-bong-mat-troi-ft-giang-nguyen
12,Khóc Một Mình- Karik,1 January 2017,374308,2765,151,12,Nhạc Trẻ,12,https://soundcloud.com/nguy-n-v-n-t-391966190/khoc-mot-minh-karik
13,Người Nào Đó - JustaTee,23 December 2012,1305360,12902,820,342,"Smooth R&B, JustaTee, LadyKillah, SpaceSpeakers, NguoiNaoDoSe",13,https://soundcloud.com/justatee/nguoi_nao_do_justatee
14,Ta và Nàng-Ve và Vâu,25 January 2015,3994402,33618,2309,339,"Rap, JGKiD, Den, AER, Viet Rap, Da LAB, Thom",11,https://soundcloud.com/den1305/ta-va-nang-ve-va-vau
15,Hà Nội Mùa Vắng Những Cơn Mưa,9 September 2014,7269,51,2,0,"ha noi mua vang nhung con mua, le trong dat",14,https://soundcloud.com/datlee177/ha-noi-mua-vang-nhung-con-mua
16,Cầu Hôn - Văn Mai Hương,19 January 2019,2156065,20988,882,117,"R&B & Soul, Nhac tre",15,https://soundcloud.com/user-755956971/cau-hon-van-mai-huong
17,Lai Gan Hon Anh - Bang Kieu [FLAC Lossless],30 November 2012,265571,1770,92,10,,16,https://soundcloud.com/btx01/lai-gan-hon-anh-bang-kieu-flac
18,Em Giấu Điều Gì Trong Đôi Mắt (OST Thưa Mẹ Con Đi) - Phạm Toàn Thắng,20 August 2019,65710,630,24,7,"Soundtrack, Nhac tre",17,https://soundcloud.com/user-55699745/em-giau-dieu-gi-trong-doi-mat-ost-thua-me-con-di-pham-toan-thang
19,Cảm giác lúc ấy sẽ ra sao - Lou Hoang,28 March 2019,2205675,12836,468,35,Nhạc Trẻ,18,https://soundcloud.com/tuan-ngoc-777181/cam-giac-luc-ay-se-ra-sao-lou-hoang
20,Ánh Nắng Của Anh (Chờ Em Đến Ngày Mai Ost) - Đức Phúc,13 December 2016,2092176,17772,935,89,"Nhạc Trẻ, đức phúc, ánh nắng của anh, chờ em đến ngày mai ost",19,https://soundcloud.com/c-h-m-957259045/anh-nang-cua-anh-cho-em-den-ngay-mai-ost-duc-phuc
21,Cũng Đành Thôi | Đức Phúc | Official,16 October 2016,1652528,15367,813,65,"Cũng, Đành, Thôi, Đức, Phúc, Official, Vietnam , honactattoo",20,https://soundcloud.com/jnguyenst/cung-danh-thoi-duc-phuc-official
22,Cứ Yêu Đi - Hòa Minzy ft Đức Phúc,14 April 2018,339013,2570,102,6,"Pop, Nhạc Trẻ, ducphuc, nhacphim100ngaybenem, đứcphúc, cuyeudiducphuc, ost100ngaybenem, hoaminzy",21,https://soundcloud.com/tichtactv/cu-yeu-di-hoa-minzy-ft-duc-phuc
23,Hang BingBoong - Cu Yeu,10 August 2012,30090,202,14,1,,22,https://soundcloud.com/hu-nh-ti-n/hang-bingboong-cu-yeu
24,夜曲 / Dạ Khúc - 周杰伦 / Châu Kiệt Luân (Jay Chou),5 June 2014,707944,6262,283,103,"Nhạc Hoa, Pop, Rock",23,https://soundcloud.com/chenyuan/da-khuc-chau-kiet-luan-jay-chou
25,HÀNH LANG CŨ (Hạ Nhớ) - Long Nón Lá (Huy Vạc Cover Acoustic),18 November 2019,4332535,31894,1485,486,"hanhlangcu, hanho, longnonla, huyvac, cover, Acoustic",24,https://soundcloud.com/rabbito-218618136/hanh-lang-cu-ha-nho-long-non-la-huy-vac-cover-acoustic
26,"Crush 2 - W/n ft ( Tez, Tien )",7 December 2019,2043511,22693,724,351,,25,https://soundcloud.com/user-295646386/crush-2-wn-ft-tez-tien
27,100 Years Love NamDuc [ MV Video Lyrics ],13 February 2020,4215523,31660,1082,509,,26,https://soundcloud.com/gostupidrogers/100-years-love-namduc-mv-video-lyrics
28,Đen - một triệu like ft. Thành Đồng,23 January 2020,6826868,57444,2902,1024,"Hip-hop & Rap, một triệu like, đen, thành đồng, den vau, den, lộn xộn 5",11,https://soundcloud.com/den1305/den-mot-trieu-like-ft-thanh-dong
29,Lời Yêu Ngây Dại,11 August 2019,9150306,84170,3421,1496,"loi yeu ngay dai, kha",27,https://soundcloud.com/minhkharuth/lynd
30,em luôn ở trong tâm trí anh - cover,26 October 2019,305951,2633,99,55,,28,https://soundcloud.com/nguyenhoangan_nha/em-luon-o-trong-tam-tri-anh-cover
31,Lo - Thuong - Mot - Nguoi - Nguyen - Dinh - Vu,5 July 2018,1462073,7854,307,41,Pop,29,https://soundcloud.com/user-643063259/lo-thuong-mot-nguoi-nguyen
32,Vài Lần Đón Đưa - Touliver x Soobin Hoàng Sơn ( Cover ),20 January 2017,2175977,18901,927,84,,30,https://soundcloud.com/hoghafu3004/vai-lan-don-dua-touliver-x-soobin-hoang-son-cover
33,tình đắng như ly cà phê - nân. và Ngơ,1 April 2018,10122269,105428,5205,1226,R&B & Soul,31,https://soundcloud.com/nanangx/tinh-dang-nhu-ly-ca-phe-ngo-va-nan
34,"Buồn Vương Mi (Feat. Twinkly Tus, Nguyễn Hồng Giang)",2 May 2018,4603561,32882,1382,564,"Hip-hop & Rap, Buồn, Mi, (Feat., Twinkly, Tus, And, Nguyễn, Hồng, giang, buồn vương mi, buon vuong mi, sg prider",32,https://soundcloud.com/saigon-prider/buon-vuong-mi-feat-twinkly-tus-and-nguyen-hong-giang
35,Xilevolau (Melodic Deep House Remix),8 November 2015,308635,3243,449,108,"deep house, melodic, rhymastic, Remix, spacespeakers, justatee, shenevaknows, nguoinaodo, mashup",33,https://soundcloud.com/youngcrizzal/xilevolau-melodic-deep-house-remix
